AX,AY,AZ,CO2,Temp,Hum,Tim,File
0.035,-0.189,0.975,,,,,
0.033,-0.186,0.949,,,,,
0.014,-0.191,0.969,,,,,
0.02,-0.207,0.975,,,,,
0.031,-0.205,0.975,,,,,
0.031,-0.191,0.959,,,,,
0.008,-0.191,0.938,,,,,
0.012,-0.199,0.982,,,,,
0.029,-0.207,0.971,392,31.1,38.1,4396,2
0.039,-0.188,0.977,,,,,
0.021,-0.191,0.955,,,,,
0.014,-0.199,0.965,,,,,
0.021,-0.213,0.984,,,,,
0.035,-0.195,0.963,,,,,
0.037,-0.184,0.959,,,,,
0.012,-0.195,0.953,,,,,
0.02,-0.199,0.984,,,,,
0.027,-0.211,0.975,,,,,
0.037,-0.186,0.963,,,,,
0.021,-0.197,0.951,,,,,
0.012,-0.191,0.965,,,,,
0.027,-0.207,0.982,,,,,
0.033,-0.191,0.969,,,,,
0.035,-0.186,0.957,,,,,
0.014,-0.197,0.955,,,,,
0.018,-0.201,0.98,,,,,
0.029,-0.207,0.965,392,31.1,38.1,4572,2
0.031,-0.191,0.975,,,,,
0.021,-0.197,0.951,,,,,
0.012,-0.189,0.967,,,,,
0.025,-0.203,0.984,,,,,
0.035,-0.195,0.963,,,,,
0.031,-0.193,0.961,,,,,
0.01,-0.199,0.953,,,,,
0.02,-0.195,0.984,,,,,
0.027,-0.213,0.977,,,,,
0.039,-0.186,0.957,,,,,
0.01,-0.191,0.947,,,,,
0.018,-0.199,0.984,,,,,
0.029,-0.207,0.975,,,,,
0.033,-0.188,0.979,,,,,
0.027,-0.189,0.939,,,,,
0.012,-0.191,0.971,,,,,
0.025,-0.213,0.975,,,,,
0.035,-0.199,0.969,392,31.1,38.1,4748,2
0.029,-0.195,0.959,,,,,
0.012,-0.191,0.941,,,,,
0.018,-0.197,0.99,,,,,
0.033,-0.201,0.975,,,,,
0.035,-0.184,0.965,,,,,
0.018,-0.189,0.947,,,,,
0.014,-0.199,0.971,,,,,
0.023,-0.215,0.99,,,,,
0.031,-0.195,0.959,,,,,
0.035,-0.186,0.953,,,,,
0.01,-0.193,0.957,,,,,
0.021,-0.199,0.986,,,,,
0.027,-0.205,0.973,,,,,
0.035,-0.189,0.963,,,,,
0.021,-0.199,0.947,,,,,
0.008,-0.195,0.979,,,,,
0.027,-0.207,0.973,,,,,
0.033,-0.189,0.973,392,31.1,38.1,4923,2
0.027,-0.195,0.957,,,,,
0.014,-0.191,0.959,,,,,
0.018,-0.199,0.988,,,,,
0.031,-0.201,0.967,,,,,
0.033,-0.186,0.975,,,,,
0.02,-0.197,0.949,,,,,
0.014,-0.191,0.973,,,,,
0.025,-0.213,0.977,,,,,
0.039,-0.189,0.965,,,,,
0.031,-0.193,0.957,,,,,
0.008,-0.193,0.951,,,,,
0.023,-0.203,0.982,,,,,
0.029,-0.205,0.975,,,,,
0.035,-0.184,0.965,,,,,
0.018,-0.195,0.945,,,,,
0.018,-0.189,0.982,,,,,
0.029,-0.213,0.979,,,,,
0.035,-0.195,0.973,392,31.1,38.1,5099,2
0.027,-0.191,0.951,,,,,
0.01,-0.189,0.953,,,,,
0.021,-0.205,0.99,,,,,
0.033,-0.203,0.965,,,,,
0.029,-0.189,0.957,,,,,
0.014,-0.193,0.949,,,,,
0.018,-0.199,0.979,,,,,
0.025,-0.209,0.975,,,,,
0.039,-0.189,0.963,,,,,
0.023,-0.189,0.951,,,,,
